*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BusBoard
*Date=23:02:02
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;92.0044;-9.487;-90;Bottom;J6
2;;;57.6961;-18.8342;0;Bottom;Copper Fill239
3;;;65.4304;-10.5284;0;Bottom;Copper Fill53
4;;;184.645;-20.3328;0;Bottom;Copper Fill113
5;;;10.7061;-7.2772;0;Bottom;Copper Fill149
6;;;136.385;-20.3328;0;Bottom;Copper Fill126
7;;;309.105;-20.3328;0;Bottom;Copper Fill78
8;;;57.6961;-18.8342;0;Bottom;Copper Fill147
9;;;184.645;-18.8342;0;Bottom;Copper Fill114
10;;;39.2875;-34.6361;-90;Bottom;TXT9
11;;;186.008;-15.7802;0;Bottom;TXT5
12;;THT;43.7444;-9.487;-90;Bottom;J4
13;;;9.8298;-8.1535;0;Bottom;Copper Fill150
14;;3 mm [THT];295.784;-19.5201;-90;Bottom;LED13
15;;;132.029;-39.8654;0;Bottom;Copper Fill3
16;;power_jack_pth_lock;312.325;-40.6632;180;Bottom;J22
17;;;215.125;-18.8342;0;Bottom;Copper Fill107
18;;;281.305;-9.36;0;Bottom;Copper Fill47
19;;;37.0586;-37.4778;0;Bottom;Copper Fill6
20;;;57.6961;-20.3328;0;Bottom;Copper Fill238
21;;;154.229;-38.57;0;Bottom;Copper Fill176
22;;;168.656;-19.5835;0;Bottom;Copper Fill118
23;;;308.356;-19.5835;0;Bottom;Copper Fill80
24;;THT;170.744;-9.487;-90;Bottom;J14
25;;;184.556;-38.443;0;Bottom;Copper Fill28
26;;;39.0652;-38.1128;0;Bottom;Copper Fill7
27;;;230.365;-18.8342;0;Bottom;Copper Fill220
28;;;160.68;-10.5284;0;Bottom;Copper Fill59
29;;;177.089;-38.57;0;Bottom;Copper Fill25
30;;;25.0698;-8.1535;0;Bottom;Copper Fill145
31;;;149.504;-8.1535;0;Bottom;Copper Fill119
32;;;291.744;-8.1535;0;Bottom;Copper Fill76
33;;;159.283;-41.6942;0;Bottom;Copper Fill4
34;;;233.045;-9.36;0;Bottom;Copper Fill44
35;;;89.9414;-19.5835;0;Bottom;Copper Fill138
36;;;276.504;-8.1535;0;Bottom;Copper Fill77
37;;3 mm [THT];280.544;-19.5201;-90;Bottom;LED12
38;;;229.616;-19.5835;0;Bottom;Copper Fill104
39;;;177.19;-10.5284;0;Bottom;Copper Fill60
40;;;240.594;-47.46;0;Bottom;Hole8
41;;;72.9361;-20.3328;0;Bottom;Copper Fill236
42;;;144.069;-38.57;0;Bottom;Copper Fill172
43;;;197.739;-34.8235;0;Bottom;Copper Fill218
44;;;230.365;-18.8342;0;Bottom;Copper Fill103
45;;;146.609;-38.57;0;Bottom;Copper Fill173
46;;;309.105;-18.8342;0;Bottom;Copper Fill213
